titulo,autor,ubicacion,portada,categoria
1978 EL EJERCITO DE LAS TRINCHERAS,ACADEMIA DE HISTORIA MILITAR,PA-A01,portadas/1978_EJTO_TRINCHERAS.JPG,"HISTORIA, CHILE, CONFLICTO BEAGLE "
MI LUCHA,ADOLF HITLER,PA-A02,portadas/MI_LUCHA.JPG,"ENSAYO, FILOSOFIA, POLITICA, BIOGRAFIA"
CONVERSACIONES SOBRE LA GUERRA Y LA PAZ TOMO I,ADOLF HITLER,PA-A03,portadas/CONVERSACIONES_I.JPG,"ENSAYO, FILOSOFIA, POLITICA"
CONVERSACIONES SOBRE LA GUERRA Y LA PAZ TOMO II,ADOLF HITLER,PA-A04,portadas/CONVERSACIONES_II.JPG,"ENSAYO, FILOSOFIA, POLITICA"
LA CAIDA DE CARTAGO,ADRIAN GOLDSWORTHY,PA-A05,portadas/LA_CAIDA.JPG,"HISTORIA, ENSAYO"
GLOBALISMO,AGUSTIN LAJE,PA-A06,portadas/GLOBALISMO.JPG,"POLITICA, ENSAYO"
CLEOPATRA ,ALBERTO ANGELA,PA-A07,portadas/CLEOPATRA.JPG,"HISTORIA, NOVELA, EGIPTO"
MARTIN RIVAS,ALBERTO BLEST GANA,PA-A08,portadas/MARTINRIVAS.JPG,"NOVELA, CHILE, CLASICO"
 LA FRONDA ARISTOCRATICA EN CHILE,ALBERTO EDWARDS VIVES,PA-A09,portadas/LAFRONDA.JPG,"HISTORIA, ENSAYO, CHILE"
EL TRATADO DE 1904,ALBERTO MAYER,PA-A10,portadas/ELTRATADO1904.JPG,"ENSAYO, HISTORIA, POLITICA"
SEÑALES DE ESPERANZA,ALEJANDRO BULLON,PA-A11,portadas/SENALESDEESPERANZABULLON.JPG,"ENSAYO, AUTOAYUDA"
POETA CHILENO,ALEJANDRO ZAMBRA,PA-A12,portadas/POETACHILENO.JPG,"NOVELA, CHILE"
EL CHILE PERPLEJO,ALFREDO JOCELYN HOLT,PA-A13,portadas/ELCHILEPERPLEJO.JPG,"ENSAYO, HISTORIA, POLITICA, CHILE"
LA ARAUCANA,ALONSO DE ERCILLA Y ZUÑIGA,PA-A14,portadas/LAARAUCANA.JPG,"POEMA, EPICO, CHILE, CONQUISTA"
AMI EL NIÑO DE LAS ESTRELLAS,AMI,PA-A15,portadas/AMI.JPG,"NOVELA, FANTASIA"
DIOSES Y HEROES DE LA MITOLOGIA GRIEGA,ANA MARIA SHUA,PA-A16,portadas/DIOSESYHEROES.JPG,"NOVELA, MITOLOGIA"
FRAGATA COCHRANE,ANDRES VALENZUELA,PA-A17,portadas/FRAGATACOCHRANE.JPG,"NOVELA, HISTORIA, MILITAR"
CHURCHILL LA BIOGRAFIA,ANDREW ROBERTS,PA-A18,portadas/CHURCHILL.JPG,BIOGRAFIA
ALL THE LIGHT WE CANNOT SEE,ANTHONY DOERR,PA-A19,portadas/ALLTHELIGHTS.JPG,"NOVELA, INGLES, HISTORIA, SEGUNDA GUERRA MUNDIAL"
EL PRINCIPITO,ANTOINE DE SAINT EXUPERY,PA-A20,portadas/ELPRINCIPITO_I.JPG,"NOVELA, FANTASIA, CLASICO"
EL PRINCIPITO,ANTOINE DE SAINT EXUPERY,PA-A21,portadas/ELPRINCIPITO_II.JPG,"NOVELA, FANTASIA, CLASICO"
TEATRO BREVE Y CONTENPORANEO ARGENTINO,ANTOLOGIA ,PA-A22,portadas/TEATROBREVE.JPG,"TEATRO, ARTE, ANTOLOGIA"
ARDIENTE PACIENCIA,ANTONIO SKARMETA,PA-A23,portadas/ARDIENTE_I.JPG,NOVELA
ARDIENTE PACIENCIA,ANTONIO SKARMETA,PA-A24,portadas/ARDIENTE_II.JPG,NOVELA
ARDIENTE PACIENCIA,ANTONIO SKARMETA,PA-A25,portadas/ARDIENTE_III.JPG,NOVELA
UN ESCRITOR EN GUERRA,ANTONY BEEVOR,PA-A26,portadas/UNESCRITOR.JPG,"HISTORIA, NOVELA, MILITAR, NO FICCION"
STALINGRADO,ANTONY BEEVOR,PA-A27,portadas/STALINGRADO.JPG,"HISTORIA, NOVELA, MILITAR, NO FICCION"
BERLIN LA CAIDA 1945,ANTONY BEEVOR,PA-A28,portadas/BERLINLACAIDA.JPG,"HISTORIA, NOVELA, MILITAR, NO FICCION"
